合并总点数：98651
x,y
-0.0344,21.2797
-0.0346,21.2886
-0.0351,21.2766
-0.0351,21.2959
-0.0355,21.2785
-0.0357,21.2876
-0.0360,21.2842
-0.0363,21.2779
-0.0364,21.2914
-0.0369,21.2874
-0.0371,21.2851
-0.0372,21.2784
-0.0374,21.2910
-0.0375,21.2600
-0.0384,21.2848
-0.0388,21.2786
-0.0390,21.2801
-0.0390,21.2907
-0.0392,21.2830
-0.0393,21.2763
-0.0397,21.2772
-0.0401,21.2783
-0.0405,21.2855
-0.0407,21.2899
-0.0410,21.2228
-0.0412,21.2968
-0.0414,21.2761
-0.0415,21.2881
-0.0424,21.2900
-0.0432,21.2195
-0.0432,21.2442
-0.0441,21.2337
-0.0453,21.2290
-0.0454,21.2599
-0.0456,21.2623
-0.0457,21.2545
-0.0457,21.2599
-0.0458,21.2469
-0.0475,21.2675
-0.0476,21.1945
-0.0491,21.1964
-0.0499,21.2019
-0.0499,21.2595
-0.0500,21.1911
-0.0503,21.2187
-0.0505,21.2440
-0.0508,21.2659
-0.0508,21.2691
-0.0511,21.2584
-0.0515,21.2531
-0.0518,21.2332
-0.0526,21.2190
-0.0527,21.2734
-0.0528,21.2152
-0.0530,21.2729
-0.0530,21.2924
-0.0542,21.2705
-0.0543,21.2629
-0.0544,21.1996
-0.0547,21.2034
-0.0547,21.2679
-0.0556,21.1961
-0.0559,21.2563
-0.0575,21.2421
-0.0576,21.1990
-0.0579,21.2066
-0.0582,21.2433
-0.0584,21.2360
-0.0593,21.2598
-0.0597,21.2481
-0.0598,21.2047
-0.0601,21.2025
-0.0604,21.1967
-0.0608,21.2405
-0.0608,21.2550
-0.0615,21.3193
-0.0616,21.2172
-0.0616,21.2692
-0.0619,21.2164
-0.0620,21.2266
-0.0620,21.2276
-0.0620,21.2604
-0.0622,21.2283
-0.0626,21.2321
-0.0628,21.2434
-0.0630,21.2270
-0.0630,21.2639
-0.0633,21.2013
-0.0634,21.2293
-0.0634,21.2829
-0.0636,21.2653
-0.0640,21.2505
-0.0645,21.2468
-0.0648,21.2247
-0.0651,21.2373
-0.0653,21.2319
-0.0657,21.2557
-0.0664,21.2060
-0.0665,21.2140
-0.0665,21.2260
-0.0667,21.2498
-0.0668,21.1865
-0.0670,21.2309
-0.0672,21.2338
-0.0673,21.2272
-0.0674,21.1931
-0.0674,21.2144
-0.0676,21.2413
-0.0677,21.2366
-0.0687,21.2136
-0.0695,21.3392
-0.0698,21.2097
-0.0700,21.2220
-0.0701,21.1779
-0.0701,21.2133
-0.0706,21.2583
-0.0709,21.1847
-0.0709,21.2259
-0.0714,21.2328
-0.0715,21.1875
-0.0716,21.2241
-0.0718,21.2044
-0.0718,21.2310
-0.0719,21.1878
-0.0721,21.2153
-0.0722,21.1882
-0.0724,21.2381
-0.0726,21.2158
-0.0727,21.3372
-0.0736,21.2132
-0.0736,21.2452
-0.0740,21.1958
-0.0741,21.1755
-0.0742,21.1982
-0.0753,21.2009
-0.0761,21.1824
-0.0764,21.1917
-0.0768,21.1926
-0.0769,21.3499
-0.0771,21.3441
-0.0778,21.1781
-0.0778,21.1838
-0.0779,21.2139
-0.0780,21.2217
-0.0789,21.3645
-0.0795,21.2129
-0.0796,21.1949
-0.0800,21.1822
-0.0800,21.1851
-0.0802,21.1956
-0.0809,21.1774
-0.0809,21.2193
-0.0811,21.2266
-0.0814,21.1900
-0.0814,21.2242
-0.0818,21.2153
-0.0822,21.1895
-0.0823,21.2150
-0.0826,21.1859
-0.0830,21.2118
-0.0833,21.2069
-0.0833,21.2264
-0.0836,21.2045
-0.0845,21.1998
-0.0845,21.2099
-0.0845,21.2166
-0.0847,21.1959
-0.0849,21.3623
-0.0851,21.2154
-0.0856,21.3386
-0.0859,21.1846
-0.0861,21.1891
-0.0862,21.1896
-0.0863,21.2018
-0.0863,21.2059
-0.0865,21.2041
-0.0868,21.1962
-0.0873,21.2080
-0.0875,21.2028
-0.0879,21.2085
-0.0880,21.2087
-0.0882,21.2022
-0.0884,21.2070
-0.0884,21.2076
-0.0886,21.2103
-0.0889,21.3687
-0.0890,21.2094
-0.0897,21.1845
-0.0898,21.3665
-0.0900,21.2092
-0.0903,21.1875
-0.0903,21.1909
-0.0903,21.2018
-0.0907,21.2009
-0.0911,21.2044
-0.0912,21.2042
-0.0914,21.2007
-0.0918,21.1779
-0.0920,21.2032
-0.0921,21.2024
-0.0923,21.1863
-0.0924,21.1807
-0.0924,21.1956
-0.0924,21.2092
-0.0926,21.1835
-0.0933,21.1979
-0.0933,21.2002
-0.0933,21.2003
-0.0933,21.2048
-0.0936,21.1761
-0.0941,21.2074
-0.0942,21.2042
-0.0944,21.2119
-0.0946,21.2111
-0.0949,21.1889
-0.0951,21.2093
-0.0954,21.1855
-0.0959,21.1865
-0.0962,21.1898
-0.0962,21.1966
-0.0963,21.1918
-0.0967,21.1875
-0.0970,21.1838
-0.0974,21.1850
-0.0977,21.1857
-0.0979,21.1790
-0.0979,21.1843
-0.0983,21.1794
-0.0993,21.1852
-0.0997,21.2110
-0.1003,21.1805
-0.1005,21.3849
-0.1009,21.2247
-0.1011,21.2174
-0.1012,21.1820
-0.1013,21.3748
-0.1017,21.2179
-0.1019,21.1874
-0.1023,21.2173
-0.1024,21.1877
-0.1024,21.1891
-0.1025,21.1862
-0.1026,21.2099
-0.1028,21.1825
-0.1028,21.2147
-0.1030,21.1903
-0.1033,21.2232
-0.1036,21.3825
-0.1038,21.2026
-0.1038,21.2139
-0.1041,21.1989
-0.1042,21.2195
-0.1048,21.1975
-0.1052,21.2135
-0.1054,21.2041
-0.1054,21.2097
-0.1062,21.1872
-0.1064,21.1999
-0.1066,21.2110
-0.1068,21.3861
-0.1072,21.1990
-0.1074,21.1973
-0.1077,21.2009
-0.1079,21.2084
-0.1080,21.2065
-0.1081,21.2003
-0.1083,21.2002
-0.1093,21.2001
-0.1096,21.1791
-0.1096,21.1969
-0.1101,21.1992
-0.1104,21.1890
-0.1107,21.1939
-0.1107,21.2103
-0.1108,21.1989
-0.1108,21.2037
-0.1109,21.2010
-0.1110,21.2035
-0.1113,21.2023
-0.1113,21.2055
-0.1113,21.3426
-0.1114,21.2062
-0.1116,21.1974
-0.1117,21.2082
-0.1119,21.1996
-0.1120,21.1975
-0.1125,21.2072
-0.1126,21.2009
-0.1127,21.2018
-0.1127,21.2032
-0.1128,21.2121
-0.1130,21.2043
-0.1131,21.2198
-0.1134,21.2096
-0.1138,21.3391
-0.1140,21.2085
-0.1141,21.1979
-0.1148,21.2092
-0.1152,21.2074
-0.1153,21.1955
-0.1164,21.1947
-0.1164,21.2031
-0.1165,21.1842
-0.1168,21.2287
-0.1171,21.1830
-0.1172,21.1819
-0.1174,21.3574
-0.1180,21.1770
-0.1180,21.2424
-0.1183,21.2351
-0.1185,21.1775
-0.1191,21.1960
-0.1194,21.2350
-0.1196,21.2307
-0.1201,21.1960
-0.1204,21.2252
-0.1205,21.1968
-0.1205,21.2227
-0.1205,21.3560
-0.1206,21.1918
-0.1207,21.2275
-0.1210,21.1764
-0.1212,21.2163
-0.1212,21.2166
-0.1214,21.1801
-0.1214,21.1904
-0.1214,21.2373
-0.1216,21.2362
-0.1217,21.2257
-0.1217,21.2267
-0.1218,21.2323
-0.1219,21.1892
-0.1224,21.2105
-0.1228,21.1806
-0.1228,21.2226
-0.1231,21.1884
-0.1232,21.2058
-0.1233,21.1822
-0.1234,21.2212
-0.1246,21.2151
-0.1250,21.2277
-0.1251,21.2118
-0.1251,21.2262
-0.1254,21.1857
-0.1256,21.1902
-0.1256,21.2264
-0.1258,21.2268
-0.1259,21.2018
-0.1259,21.2193
-0.1260,21.2132
-0.1260,21.2195
-0.1265,21.2265
-0.1268,21.2086
-0.1271,21.2135
-0.1273,21.2162
-0.1273,21.2250
-0.1274,21.2261
-0.1277,21.2152
-0.1283,21.2126
-0.1284,21.2202
-0.1290,21.1969
-0.1292,21.1856
-0.1292,21.2151
-0.1292,21.2183
-0.1294,21.2270
-0.1295,21.2089
-0.1298,21.2209
-0.1299,21.1993
-0.1299,21.2196
-0.1300,21.2141
-0.1301,21.2133
-0.1304,21.2200
-0.1304,21.2367
-0.1305,21.2137
-0.1305,21.2206
-0.1306,21.2075
-0.1312,21.2112
-0.1316,21.2205
-0.1317,21.2182
-0.1317,21.2277
-0.1321,21.2182
-0.1328,21.2258
-0.1329,21.2069
-0.1334,21.2513
-0.1341,21.2285
-0.1346,21.2161
-0.1348,21.2002
-0.1351,21.3453
-0.1353,21.2583
-0.1353,21.2626
-0.1357,21.1909
-0.1358,21.1898
-0.1358,21.1952
-0.1358,21.2601
-0.1359,21.1899
-0.1365,21.2187
-0.1367,21.2480
-0.1369,21.2195
-0.1370,21.2453
-0.1375,21.2532
-0.1376,21.2599
-0.1377,21.2389
-0.1381,21.3779
-0.1382,21.2494
-0.1383,21.2119
-0.1385,21.1978
-0.1385,21.2537
-0.1386,21.2550
-0.1389,21.1892
-0.1396,21.2285
-0.1399,21.1984
-0.1402,21.2393
-0.1403,21.2427
-0.1407,21.1898
-0.1410,21.2134
-0.1411,21.2457
-0.1412,21.1950
-0.1413,21.2178
-0.1413,21.2297
-0.1415,21.2503
-0.1416,21.2345
-0.1419,21.2471
-0.1423,21.2487
-0.1423,21.2541
-0.1424,21.2439
-0.1425,21.2365
-0.1425,21.2419
-0.1426,21.1838
-0.1426,21.2362
-0.1427,21.2356
-0.1431,21.2445
-0.1440,21.2488
-0.1442,21.2215
-0.1442,21.2379
-0.1443,21.2312
-0.1446,21.2427
-0.1448,21.2352
-0.1449,21.2132
-0.1455,21.2196
-0.1456,21.2269
-0.1456,21.2380
-0.1457,21.2377
-0.1457,21.2409
-0.1463,21.2412
-0.1464,21.2422
-0.1464,21.2435
-0.1464,21.2482
-0.1465,21.2368
-0.1468,21.2266
-0.1469,21.2426
-0.1470,21.2302
-0.1470,21.2387
-0.1472,21.2443
-0.1474,21.2398
-0.1475,21.2458
-0.1475,21.2552
-0.1481,21.2194
-0.1482,21.2432
-0.1482,21.3584
-0.1484,21.2289
-0.1486,21.2408
-0.1487,21.2377
-0.1494,21.3394
-0.1496,21.2428
-0.1499,21.2341
-0.1501,21.2303
-0.1506,21.2278
-0.1506,21.2512
-0.1509,21.2224
-0.1511,21.2387
-0.1514,21.2185
-0.1514,21.2640
-0.1527,21.3371
-0.1530,21.2075
-0.1531,21.2414
-0.1534,21.2444
-0.1534,21.2729
-0.1535,21.2421
-0.1537,21.2664
-0.1538,21.2080
-0.1539,21.2728
-0.1541,21.2758
-0.1542,21.2255
-0.1543,21.2606
-0.1544,21.2629
-0.1548,21.2654
-0.1548,21.2720
-0.1552,21.2006
-0.1554,21.2558
-0.1555,21.2561
-0.1558,21.2713
-0.1564,21.2210
-0.1567,21.2677
-0.1569,21.2410
-0.1569,21.2619
-0.1570,21.2226
-0.1570,21.2733
-0.1572,21.2421
-0.1572,21.2458
-0.1574,21.3638
-0.1575,21.3401
-0.1576,21.2616
-0.1579,21.2076
-0.1579,21.2404
-0.1582,21.2762
-0.1583,21.1921
-0.1588,21.2481
-0.1589,21.2521
-0.1591,21.2064
-0.1591,21.2591
-0.1593,21.2425
-0.1594,21.2012
-0.1598,21.2595
-0.1599,21.2539
-0.1600,21.2598
-0.1600,21.2677
-0.1601,21.2491
-0.1601,21.2533
-0.1604,21.2041
-0.1609,21.2604
-0.1610,21.2537
-0.1619,21.2773
-0.1620,21.2603
-0.1621,21.2423
-0.1622,21.2309
-0.1623,21.2495
-0.1624,21.2635
-0.1626,21.2541
-0.1630,21.2638
-0.1631,21.2594
-0.1632,21.2782
-0.1636,21.2528
-0.1636,21.2652
-0.1639,21.2372
-0.1642,21.2684
-0.1642,21.3353
-0.1644,21.2564
-0.1646,21.2420
-0.1646,21.2620
-0.1650,21.2515
-0.1656,21.2679
-0.1658,21.2671
-0.1661,21.2388
-0.1661,21.2553
-0.1662,21.2653
-0.1663,21.3370
-0.1668,21.2529
-0.1670,21.2510
-0.1671,21.3434
-0.1672,21.3200
-0.1673,21.2738
-0.1673,21.3497
-0.1676,21.3244
-0.1677,21.3102
-0.1677,21.3421
-0.1678,21.3388
-0.1680,21.2468
-0.1683,21.3079
-0.1685,21.2564
-0.1686,21.3552
-0.1687,21.2362
-0.1690,21.2352
-0.1694,21.2719
-0.1695,21.3093
-0.1697,21.2463
-0.1697,21.3542
-0.1700,21.2932
-0.1701,21.2647
-0.1702,21.3345
-0.1703,21.2307
-0.1703,21.3537
-0.1704,21.2889
-0.1705,21.2591
-0.1705,21.3087
-0.1707,21.3100
-0.1709,21.2984
-0.1710,21.2282
-0.1716,21.2837
-0.1722,21.2787
-0.1722,21.2806
-0.1722,21.3191
-0.1728,21.2685
-0.1729,21.2945
-0.1731,21.2683
-0.1737,21.2387
-0.1738,21.2351
-0.1738,21.3019
-0.1741,21.3285
-0.1742,21.2196
-0.1742,21.3409
-0.1743,21.2842
-0.1743,21.3385
-0.1744,21.3360
-0.1746,21.2803
-0.1747,21.3322
-0.1749,21.2340
-0.1750,21.2987
-0.1752,21.2941
-0.1753,21.2288
-0.1753,21.2548
-0.1754,21.3300
-0.1757,21.3336
-0.1758,21.2304
-0.1765,21.3249
-0.1766,21.2767
-0.1768,21.3488
-0.1769,21.2608
-0.1769,21.2879
-0.1770,21.2268
-0.1770,21.2812
-0.1773,21.2848
-0.1773,21.3332
-0.1775,21.2709
-0.1775,21.2853
-0.1776,21.3075
-0.1779,21.2582
-0.1779,21.3314
-0.1782,21.2617
-0.1784,21.3440
-0.1787,21.2816
-0.1788,21.2535
-0.1789,21.2853
-0.1789,21.3152
-0.1789,21.3447
-0.1790,21.3754
-0.1791,21.2658
-0.1792,21.2860
-0.1792,21.2923
-0.1801,21.3631
-0.1801,21.3640
-0.1802,21.3336
-0.1803,21.3371
-0.1812,21.2680
-0.1812,21.2789
-0.1812,21.3695
-0.1813,21.2646
-0.1813,21.3685
-0.1814,21.2597
-0.1815,21.3739
-0.1816,21.2642
-0.1817,21.3537
-0.1820,21.2663
-0.1825,21.2584
-0.1826,21.3691
-0.1827,21.2810
-0.1830,21.3386
-0.1833,21.2639
-0.1835,21.2729
-0.1837,21.2829
-0.1837,21.3408
-0.1839,21.3367
-0.1840,21.2636
-0.1842,21.3385
-0.1842,21.3665
-0.1844,21.3140
-0.1844,21.3506
-0.1846,21.3547
-0.1853,21.2699
-0.1854,21.3688
-0.1856,21.3401
-0.1857,21.3516
-0.1859,21.3558
-0.1861,21.3612
-0.1863,21.2582
-0.1863,21.3253
-0.1863,21.3571
-0.1866,21.3630
-0.1866,21.3652
-0.1868,21.3348
-0.1869,21.3384
-0.1874,21.3325
-0.1876,21.2507
-0.1878,21.3302
-0.1881,21.2620
-0.1883,21.3367
-0.1883,21.3444
-0.1884,21.2379
-0.1884,21.3566
-0.1885,21.3603
-0.1888,21.3544
-0.1889,21.2384
-0.1889,21.3611
-0.1890,21.3450
-0.1891,21.2676
-0.1895,21.3562
-0.1899,21.3328
-0.1900,21.2955
-0.1901,21.3348
-0.1902,21.3589
-0.1903,21.2665
-0.1907,21.3323
-0.1911,21.3659
-0.1912,21.3627
-0.1917,21.3696
-0.1918,21.2410
-0.1920,21.2514
-0.1921,21.3267
-0.1921,21.3678
-0.1925,21.3304
-0.1925,21.3452
-0.1927,21.3393
-0.1930,21.3377
-0.1933,21.3251
-0.1934,21.3463
-0.1936,21.2493
-0.1943,21.2999
-0.1945,21.3349
-0.1945,21.3406
-0.1947,21.3260
-0.1947,21.3387
-0.1950,21.3103
-0.1950,21.3394
-0.1950,21.3406
-0.1951,21.3382
-0.1954,21.3257
-0.1958,21.3065
-0.1959,21.3565
-0.1963,21.2825
-0.1967,21.3045
-0.1967,21.3390
-0.1971,21.3692
-0.1974,21.3039
-0.1977,21.3342
-0.1982,21.3468
-0.1983,21.3321
-0.1987,21.3475
-0.1989,21.3781
-0.1993,21.3377
-0.1995,21.3055
-0.1997,21.3713
-0.1999,21.3666
-0.2001,21.3363
-0.2001,21.3399
-0.2004,21.3761
-0.2005,21.3366
-0.2006,21.3608
-0.2007,21.3632
-0.2008,21.3681
-0.2009,21.2912
-0.2010,21.3657
-0.2014,21.3766
-0.2015,21.3562
-0.2015,21.3565
-0.2018,21.3343
-0.2019,21.2852
-0.2021,21.3463
-0.2022,21.3729
-0.2024,21.3718
-0.2025,21.2802
-0.2026,21.3474
-0.2033,21.3462
-0.2034,21.3629
-0.2045,21.3359
-0.2047,21.3643
-0.2048,21.3478
-0.2049,21.3484
-0.2052,21.2883
-0.2052,21.3715
-0.2057,21.3585
-0.2058,21.3459
-0.2059,21.3639
-0.2061,21.3539
-0.2062,21.3493
-0.2064,21.3656
-0.2064,21.3679
-0.2066,21.2888
-0.2066,21.3584
-0.2073,21.3326
-0.2074,21.3362
-0.2074,21.3476
-0.2075,21.3621
-0.2075,21.3643
-0.2076,21.3501
-0.2081,21.3471
-0.2082,21.3394
-0.2083,21.3606
-0.2084,21.3631
-0.2091,21.3449
-0.2091,21.3568
-0.2093,21.3424
-0.2093,21.3522
-0.2094,21.2755
-0.2095,21.3427
-0.2099,21.3655
-0.2100,21.3506
-0.2100,21.3539
-0.2100,21.3548
-0.2100,21.3616
-0.2105,21.3461
-0.2107,21.3542
-0.2110,21.3686
-0.2114,21.3515
-0.2115,21.3503
-0.2115,21.3562
-0.2117,21.3605
-0.2120,21.3681
-0.2122,21.3673
-0.2123,21.3480
-0.2126,21.3420
-0.2126,21.3655
-0.2137,21.3483
-0.2140,21.3415
-0.2142,21.3471
-0.2143,21.3376
-0.2145,21.3415
-0.2148,21.3434
-0.2149,21.3410
-0.2150,21.4262
-0.2157,21.3304
-0.2158,21.3306
-0.2162,21.3310
-0.2165,21.3417
-0.2169,21.3718
-0.2175,21.3397
-0.2176,21.3369
-0.2184,21.4009
-0.2185,21.3454
-0.2187,21.3808
-0.2188,21.3789
-0.2191,21.3336
-0.2192,21.3452
-0.2194,21.3396
-0.2197,21.3684
-0.2198,21.3391
-0.2199,21.3390
-0.2199,21.3708
-0.2202,21.3732
-0.2204,21.3393
-0.2204,21.3643
-0.2205,21.3407
-0.2209,21.3749
-0.2211,21.3599
-0.2213,21.3657
-0.2219,21.3754
-0.2220,21.3540
-0.2221,21.3755
-0.2223,21.3320
-0.2223,21.3744
-0.2225,21.3538
-0.2227,21.3659
-0.2230,21.3485
-0.2239,21.3554
-0.2243,21.3585
-0.2243,21.3601
-0.2245,21.3669
-0.2245,21.3886
-0.2253,21.3874
-0.2254,21.3569
-0.2255,21.3676
-0.2257,21.3660
-0.2257,21.4488
-0.2259,21.3624
-0.2259,21.4431
-0.2262,21.3561
-0.2263,21.3705
-0.2269,21.3633
-0.2272,21.3389
-0.2272,21.3503
-0.2274,21.4678
-0.2276,21.3575
-0.2279,21.3416
-0.2279,21.3713
-0.2280,21.3598
-0.2281,21.3632
-0.2283,21.3643
-0.2285,21.3598
-0.2285,21.3632
-0.2290,21.3586
-0.2292,21.3615
-0.2292,21.3624
-0.2293,21.3399
-0.2293,21.3454
-0.2298,21.3681
-0.2299,21.3640
-0.2304,21.3352
-0.2305,21.3568
-0.2305,21.3592
-0.2306,21.3637
-0.2311,21.3757
-0.2314,21.3749
-0.2315,21.3631
-0.2317,21.3496
-0.2320,21.3480
-0.2320,21.3646
-0.2321,21.3613
-0.2324,21.3590
-0.2324,21.3682
-0.2335,21.3509
-0.2339,21.4691
-0.2342,21.3358
-0.2342,21.3430
-0.2344,21.3417
-0.2345,21.3392
-0.2345,21.4619
-0.2349,21.3382
-0.2351,21.3591
-0.2353,21.3387
-0.2353,21.3411
-0.2354,21.3697
-0.2354,21.4081
-0.2370,21.3394
-0.2370,21.3520
-0.2370,21.3908
-0.2382,21.3412
-0.2387,21.3595
-0.2387,21.3815
-0.2390,21.3467
-0.2391,21.3812
-0.2394,21.4479
-0.2398,21.3417
-0.2399,21.3877
-0.2402,21.3919
-0.2406,21.3709
-0.2407,21.3446
-0.2408,21.3763
-0.2409,21.3625
-0.2411,21.3353
-0.2411,21.3384
-0.2411,21.3824
-0.2412,21.3942
-0.2413,21.3938
-0.2414,21.3725
-0.2416,21.3585
-0.2418,21.3568
-0.2418,21.3633
-0.2418,21.3780
-0.2419,21.3735
-0.2420,21.3843
-0.2424,21.3516
-0.2425,21.3731
-0.2430,21.3669
-0.2432,21.3418
-0.2434,21.3926
-0.2438,21.3874
-0.2439,21.3821
-0.2441,21.3611
-0.2448,21.3362
-0.2453,21.3645
-0.2454,21.3527
-0.2455,21.3717
-0.2456,21.3685
-0.2462,21.3641
-0.2464,21.3773
-0.2467,21.3902
-0.2469,21.3929
-0.2470,21.3551
-0.2471,21.3790
-0.2472,21.3673
-0.2477,21.3819
-0.2479,21.3504
-0.2484,21.3430
-0.2484,21.3889
-0.2488,21.3619
-0.2490,21.3608
-0.2491,21.3955
-0.2492,21.3546
-0.2493,21.3923
-0.2494,21.3870
-0.2495,21.3563
-0.2495,21.3776
-0.2495,21.3805
-0.2495,21.3833
-0.2496,21.3600
-0.2499,21.3509
-0.2500,21.3534
-0.2502,21.3657
-0.2503,21.3541
-0.2504,21.3616
-0.2504,21.3916
-0.2510,21.3545
-0.2511,21.3614
-0.2511,21.3992
-0.2523,21.3683
-0.2523,21.4116
-0.2532,21.3586
-0.2540,21.3669
-0.2541,21.3456
-0.2543,21.3851
-0.2545,21.3462
-0.2545,21.4140
-0.2546,21.3795
-0.2548,21.4137
-0.2548,21.4204
-0.2549,21.4180
-0.2550,21.3369
-0.2550,21.4246
-0.2551,21.4082
-0.2552,21.3413
-0.2553,21.4106
-0.2557,21.4185
-0.2558,21.3775
-0.2559,21.4038
-0.2560,21.4040
-0.2561,21.3309
-0.2566,21.4190
-0.2574,21.4153
-0.2576,21.3899
-0.2577,21.3934
-0.2579,21.3840
-0.2579,21.4103
-0.2580,21.3671
-0.2581,21.3438
-0.2585,21.3351
-0.2590,21.4049
-0.2596,21.3983
-0.2598,21.4189
-0.2599,21.3909
-0.2601,21.3358
-0.2607,21.3396
-0.2607,21.4072
-0.2608,21.3344
-0.2611,21.4058
-0.2615,21.3360
-0.2615,21.4025
-0.2617,21.3800
-0.2622,21.4031
-0.2622,21.4117
-0.2623,21.4053
-0.2624,21.3788
-0.2624,21.3964
-0.2625,21.3902
-0.2626,21.3868
-0.2627,21.4161
-0.2628,21.3860
-0.2629,21.3834
-0.2629,21.4080
-0.2634,21.3996
-0.2637,21.4034
-0.2637,21.4041
-0.2638,21.4072
-0.2642,21.4006
-0.2643,21.3874
-0.2644,21.3850
-0.2645,21.3980
-0.2645,21.4128
-0.2646,21.4066
-0.2647,21.4088
-0.2655,21.3717
-0.2657,21.3772
-0.2660,21.4035
-0.2666,21.4155
-0.2671,21.3891
-0.2674,21.4010
-0.2677,21.3989
-0.2689,21.3748
-0.2690,21.3880
-0.2691,21.3841
-0.2695,21.3801
-0.2700,21.3707
-0.2702,21.3766
-0.2702,21.3779
-0.2706,21.3785
-0.2706,21.3786
-0.2716,21.3960
-0.2718,21.4373
-0.2727,21.3823
-0.2733,21.3744
-0.2735,21.3818
-0.2743,21.3830
-0.2743,21.3866
-0.2743,21.3877
-0.2745,21.3613
-0.2745,21.3821
-0.2745,21.3931
-0.2745,21.3961
-0.2747,21.4349
-0.2749,21.3868
-0.2757,21.4066
-0.2764,21.3751
-0.2764,21.4032
-0.2766,21.4080
-0.2767,21.4056
-0.2768,21.4122
-0.2770,21.3981
-0.2770,21.3982
-0.2774,21.4061
-0.2776,21.3617
-0.2777,21.4368
-0.2782,21.4117
-0.2784,21.3865
-0.2784,21.3867
-0.2790,21.4016
-0.2791,21.3766
-0.2792,21.4029
-0.2801,21.3947
-0.2804,21.4042
-0.2806,21.3993
-0.2808,21.3925
-0.2811,21.3680
-0.2811,21.4082
-0.2817,21.4038
-0.2818,21.4349
-0.2819,21.3633
-0.2821,21.3934
-0.2821,21.4015
-0.2822,21.4078
-0.2825,21.3947
-0.2827,21.3699
-0.2828,21.4006
-0.2830,21.3764
-0.2832,21.4104
-0.2833,21.4020
-0.2837,21.3869
-0.2843,21.4010
-0.2845,21.3974
-0.2850,21.3922
-0.2852,21.3894
-0.2853,21.3698
-0.2853,21.4063
-0.2854,21.4110
-0.2857,21.3497
-0.2857,21.3939
-0.2858,21.3937
-0.2859,21.3611
-0.2860,21.3917
-0.2864,21.3836
-0.2864,21.3941
-0.2864,21.3965
-0.2866,21.3833
-0.2867,21.3973
-0.2869,21.4053
-0.2873,21.3515
-0.2874,21.4035
-0.2877,21.3621
-0.2877,21.4080
-0.2879,21.4072
-0.2885,21.3546
-0.2886,21.3549
-0.2890,21.4004
-0.2904,21.3641
-0.2905,21.3835
-0.2906,21.3811
-0.2909,21.3651
-0.2913,21.4527
-0.2914,21.3686
-0.2915,21.3740
-0.2918,21.3661
-0.2922,21.3597
-0.2922,21.3654
-0.2924,21.3626
-0.2924,21.3635
-0.2948,21.3639
-0.2950,21.3841
-0.2951,21.3649
-0.2955,21.3756
-0.2956,21.3663
-0.2957,21.3656
-0.2962,21.3742
-0.2967,21.3744
-0.2967,21.3787
-0.2970,21.3672
-0.2972,21.3771
-0.2973,21.3616
-0.2973,21.3976
-0.2977,21.3901
-0.2984,21.3860
-0.2985,21.3596
-0.2985,21.4699
-0.2989,21.3955
-0.2991,21.3818
-0.2991,21.3826
-0.2992,21.3578
-0.2993,21.3811
-0.2993,21.3874
-0.2995,21.3916
-0.2996,21.4469
-0.3002,21.3961
-0.3005,21.3709
-0.3006,21.3923
-0.3010,21.3861
-0.3012,21.3611
-0.3014,21.3828
-0.3018,21.3658
-0.3019,21.3935
-0.3027,21.3837
-0.3029,21.3556
-0.3029,21.3754
-0.3029,21.3769
